级别,词,读音,频次,释义,用法/例句
Level 1,腹痛,fu4 tong4,220,一种常见症状。多见于腹内病变，亦见于腹外病变。疼痛的部位、性质随病变部位、病因而异。上腹痛可能为消化性溃疡、胆囊炎、胰腺炎等；脐周或全腹痛可能为急性肠炎和胃肠炎、肠梗阻、腹膜炎、腹腔内出血等；下腹痛则可能为急性阑尾炎、妇科病、结肠炎、尿路感染和尿路结石等。,（请据《现代汉语词典》等辞书补充）
Level 1,半夏,ban4 xia4,220,"1.药草名。多年生草本植物，叶子有长柄，初夏开黄绿色花。地下有白色小块茎，可入药，生用有毒，内服须限用。 
2.稻品种名。详""半夏稻""。 
3.仲夏。鲁迅《且介亭杂文末编》有《半夏小集》。",（请据《现代汉语词典》等辞书补充）
Level 1,以及,yi3 ji2,219,"1.连词。表示在时间﹑范围上的延伸。犹言以至，以至于。 
2.连词。连接并列的词﹑词组或短句。",（请据《现代汉语词典》等辞书补充）
Level 1,肝肾,gan1 shen4,219,1.犹心思。,（请据《现代汉语词典》等辞书补充）
Level 1,基本,ji1 ben3,218,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,肾气,shen4 qi4,218,1.中医以为五脏各有气﹐肾气为先天之根本﹐关系人的生长发育和寿夭。,（请据《现代汉语词典》等辞书补充）
Level 1,检查,jian3 cha2,217,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,一般,yi4 ban1,215,①一样；同样别和他一般见识。②一种别是一般滋味在心头。③通常；在正常情况下一般说来，不会出什么事。④普通；没有特色这篇文章写得很一般。⑤见一般与个别”。,（请据《现代汉语词典》等辞书补充）
Level 1,可以,ke3 yi3,212,可以1①表示可能或能够不会的事情，用心去学，是～学会的ㄧ这片麦子已经熟了，～割了。②表示许可你～走了。参看‘能’条d、e两项。 可以2 [kěyǐ]①好；不坏这篇文章写得还～。②厉害你这张嘴真～ㄧ天气实在热得～。,（请据《现代汉语词典》等辞书补充）
Level 1,疏泄,shu1 xie4,211,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,不利,bu4 li4,210,"1.有害;没有好处。 
2.不顺利;不能取胜。 
3.不锋利。",（请据《现代汉语词典》等辞书补充）
Level 1,运动,yun4 dong4,209,①物体的位置不断变化移动的现象运动抑扬，更相动薄。②物质的存在形式和根本属性。运动和物质不可分割。物质的运动是绝对的、永恒的，包括宇宙中发生的一切变化和过程。不可创造，不可消灭，只能由一种形式转化为另一种形式。基本形式有机械的、物理的、化学的、生物的、社会的。各种运动形式都有自己特殊的规律。③体育的基本手段。包括各种游戏、专门运动项目和锻炼方法。可分为田径、体操、球类、游泳、武术、游戏和棋艺等类。也泛指身体活动的过程。④指规模声势较大的群众性活动农民运动｜五四运动。⑤为某种目的而四处奔走为换工作，他到处运动。,（请据《现代汉语词典》等辞书补充）
Level 1,灵枢,ling2 shu1,208,"1.对中央枢要的美称。 
2.犹神机。灵巧机变的谋略。 
3.指有谋略的军将。 
4.指天枢。北斗第一星。 
5.古代论述针灸的医书。与《素问》合称《内经》﹐旧传为黄帝所作﹐实为唐王冰所伪托。 6.泛指医书﹑医方。",（请据《现代汉语词典》等辞书补充）
Level 1,药物,yao4 wu4,207,1.能防治疾病﹑病虫害等的物品。,（请据《现代汉语词典》等辞书补充）
Level 1,经脉,jing1 mai4,207,中医指人体内气血运行的通路。,（请据《现代汉语词典》等辞书补充）
Level 1,痰饮,tan2 yin3,206,"1.中医病症名。四饮之一。指体内过量水液不得输化﹑停留或渗注于某一部位而发生的疾病。一般认为""稠浊者为痰﹐清稀者为饮""。",（请据《现代汉语词典》等辞书补充）
Level 1,四肢,si4 zhi1,206,1.人体两上肢和两下肢的合称。,（请据《现代汉语词典》等辞书补充）
Level 1,气化,qi4 hua4,204,"1.指阴阳之气的变化。亦以喻世事的变迁。 
2.中国古代哲学术语。指阴阳之气化生万物。 
3.中医学术语。指人体内之气的运行变化和升降开阖。如脏腑的功能活动﹐气血﹑津液的输布流注﹐中气的升降﹐机枢的开阖等。参阅《素问．灵兰秘典论》。 
4.指物质从液态转化为气态的过程。有蒸发和沸腾两种形式。 
5.语言学名词。指浊音的清音化。如""病""﹑""动""﹑""共""等字的声母﹐原是古汉语的浊声母﹐演变到现在的普通话成为清声母﹐就是浊音清音化的结果。",（请据《现代汉语词典》等辞书补充）
Level 1,脾气,pi2 qi4,204,"1.脾脏之气。中医认为人体之有五脏﹐犹自然界之有五行。五脏之间运行失常﹐则生各种疾病。 
2.人的习性。亦借指事物的特性。 
3.怒气;容易发怒的性情。",（请据《现代汉语词典》等辞书补充）
Level 1,阳虚,yang2 xu1,203,指阳气虚衰的病理现象。阳气有温暖肢体、脏腑的作用。阳虚大多具有气虚症状，同时兼有寒象。表现为畏寒肢冷、喜吃热饮、体温偏低、面色fe5f０住⒋蟊沅绫　⑿”闱宄ぁ⒙龀廖⑽蘖Φ取,（请据《现代汉语词典》等辞书补充）
Level 1,特征,te4 zheng1,203,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,日久,ri4 jiu3,203,1.时日长。,（请据《现代汉语词典》等辞书补充）
Level 1,理论,li3 lun4,201,①人们由实践概括出来的关于自然界和社会的知识的有系统的结论。②辩论是非；争论；讲理①他正在气头上，我不想和他多～。,（请据《现代汉语词典》等辞书补充）
Level 1,实证,shi2 zheng4,201,①真实的证据不能空口无凭，要拿出实证来。②证实；证明他终于以宝贵的生命，实证了他的言”和行”。,（请据《现代汉语词典》等辞书补充）
Level 1,因此,yin1 ci3,201,1.因为这个。,（请据《现代汉语词典》等辞书补充）
Level 1,无力,wu2 li4,201,"1.没有力气;没有力量。 
2.没有能力;无能为力。",（请据《现代汉语词典》等辞书补充）
Level 1,便秘,bian4 mi4,200,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,全身,quan2 shen1,199,"1.保全生命或名节。 
2.整个身体。",（请据《现代汉语词典》等辞书补充）
Level 1,诊断,zhen3 duan4,198,"1.诊视病人而判断其病症。 
2.指对病症经诊视后作出的结论。",（请据《现代汉语词典》等辞书补充）
Level 1,同时,tong2 shi2,198,"1.同时代;同一时候。 
2.犹当时，那时。 
3.并且。",（请据《现代汉语词典》等辞书补充）
Level 1,肢体,zhi1 ti3,191,1.犹躯体。,（请据《现代汉语词典》等辞书补充）
